Entity,Sentiment,count
CallOfDuty,Neutral,358
ApexLegends,Negative,558
NBA2K,Neutral,254
PlayStation5(PS5),Negative,407
Microsoft,Negative,719
Cyberpunk2077,Irrelevant,433
AssassinsCreed,Positive,1341
FIFA,Negative,1100
johnson&johnson,Negative,796
NBA2K,Irrelevant,172
HomeDepot,Negative,858
Amazon,Irrelevant,179
Google,Negative,559
Nvidia,Neutral,824
Dota2,Negative,691
LeagueOfLegends,Negative,594
Amazon,Neutral,1153
Cyberpunk2077,Neutral,447
AssassinsCreed,Neutral,151
TomClancysRainbowSix,Negative,1072
Hearthstone,Neutral,650
MaddenNFL,Negative,1626
Xbox(Xseries),Negative,346
RedDeadRedemption(RDR),Negative,286
LeagueOfLegends,Positive,559
TomClancysRainbowSix,Irrelevant,90
CallOfDuty,Negative,842
FIFA,Neutral,97
GrandTheftAuto(GTA),Irrelevant,733
Amazon,Negative,557
TomClancysGhostRecon,Irrelevant,22
TomClancysGhostRecon,Positive,587
AssassinsCreed,Irrelevant,252
Xbox(Xseries),Irrelevant,657
Battlefield,Irrelevant,890
Battlefield,Neutral,326
Nvidia,Positive,725
PlayerUnknownsBattlegrounds(PUBG),Negative,622
CallOfDutyBlackopsColdWar,Positive,808
Battlefield,Positive,543
Dota2,Irrelevant,398
Facebook,Positive,142
Dota2,Neutral,576
Hearthstone,Positive,782
johnson&johnson,Irrelevant,190
Battlefield,Negative,432
Fortnite,Negative,658
ApexLegends,Irrelevant,182
ApexLegends,Neutral,873
CS-GO,Neutral,497
Fortnite,Positive,502
Dota2,Positive,526
MaddenNFL,Neutral,180
TomClancysGhostRecon,Negative,863
CallOfDuty,Positive,410
AssassinsCreed,Negative,356
Fortnite,Irrelevant,799
Xbox(Xseries),Neutral,398
Xbox(Xseries),Positive,732
CS-GO,Irrelevant,600
CallOfDutyBlackopsColdWar,Irrelevant,534
MaddenNFL,Irrelevant,86
WorldOfCraft,Neutral,982
FIFA,Positive,453
Amazon,Positive,298
Fortnite,Neutral,151
CallOfDuty,Irrelevant,649
CS-GO,Positive,684
TomClancysRainbowSix,Neutral,583
RedDeadRedemption(RDR),Positive,855
Overwatch,Negative,591
Cyberpunk2077,Negative,351
HomeDepot,Neutral,328
WorldOfCraft,Irrelevant,207
PlayStation5(PS5),Irrelevant,379
NBA2K,Positive,392
Cyberpunk2077,Positive,860
GrandTheftAuto(GTA),Negative,561
PlayStation5(PS5),Positive,879
RedDeadRedemption(RDR),Neutral,731
Hearthstone,Negative,501
CallOfDutyBlackopsColdWar,Neutral,333
MaddenNFL,Positive,368
RedDeadRedemption(RDR),Irrelevant,200
Nvidia,Negative,486
Verizon,Positive,502
Microsoft,Positive,557
CS-GO,Negative,326
Verizon,Irrelevant,171
Borderlands,Irrelevant,235
GrandTheftAuto(GTA),Neutral,287
Borderlands,Negative,414
Nvidia,Irrelevant,85
CallOfDutyBlackopsColdWar,Negative,525
Facebook,Negative,670
HomeDepot,Irrelevant,282
WorldOfCraft,Negative,320
johnson&johnson,Positive,246
Overwatch,Positive,669
PlayerUnknownsBattlegrounds(PUBG),Irrelevant,828
Microsoft,Neutral,789
FIFA,Irrelevant,528
GrandTheftAuto(GTA),Positive,577
Microsoft,Irrelevant,158
PlayerUnknownsBattlegrounds(PUBG),Neutral,241
Verizon,Negative,1048
WorldOfCraft,Positive,696
Borderlands,Positive,956
TomClancysGhostRecon,Neutral,746
LeagueOfLegends,Irrelevant,293
Google,Positive,328
NBA2K,Negative,1424
Facebook,Irrelevant,653
LeagueOfLegends,Neutral,716
Hearthstone,Irrelevant,212
PlayStation5(PS5),Neutral,470
Overwatch,Neutral,269
Overwatch,Irrelevant,625
Google,Neutral,759
HomeDepot,Positive,690
johnson&johnson,Neutral,985
TomClancysRainbowSix,Positive,464
PlayerUnknownsBattlegrounds(PUBG),Positive,351
Facebook,Neutral,759
ApexLegends,Positive,574
Google,Irrelevant,485
Borderlands,Neutral,575
Verizon,Neutral,537
