Entity,Sentiment,count
CallOfDuty,Neutral,358
NBA2K,Neutral,254
Microsoft,Negative,719
johnson&johnson,Negative,796
NBA2K,Irrelevant,172
TomClancysRainbowSix,Negative,1072
MaddenNFL,Negative,1626
TomClancysRainbowSix,Irrelevant,90
CallOfDuty,Negative,842
TomClancysGhostRecon,Irrelevant,22
TomClancysGhostRecon,Positive,587
Facebook,Positive,142
johnson&johnson,Irrelevant,190
MaddenNFL,Neutral,180
TomClancysGhostRecon,Negative,863
CallOfDuty,Positive,410
MaddenNFL,Irrelevant,86
WorldOfCraft,Neutral,982
CallOfDuty,Irrelevant,649
TomClancysRainbowSix,Neutral,583
WorldOfCraft,Irrelevant,207
NBA2K,Positive,392
MaddenNFL,Positive,368
Verizon,Positive,502
Microsoft,Positive,557
Verizon,Irrelevant,171
Facebook,Negative,670
WorldOfCraft,Negative,320
johnson&johnson,Positive,246
Microsoft,Neutral,789
Microsoft,Irrelevant,158
Verizon,Negative,1048
WorldOfCraft,Positive,696
TomClancysGhostRecon,Neutral,746
NBA2K,Negative,1424
Facebook,Irrelevant,653
johnson&johnson,Neutral,985
TomClancysRainbowSix,Positive,464
Facebook,Neutral,759
Verizon,Neutral,537
